provcd,prov_name,year,identifier,area,人均可支配收入（元） ,自然灾害受灾人口（万人）,房价（元每平方）,移动电话普及率,地区基本经济面,代表性方言,amenity_climate,amenity_health,amenity_education,amenity_public_services
11,北京市,2010,北京市2010,华北,29228,11.5,16845.8,121.36,0.067327119,北京官话,-1.2328522228408374,-3.2878407176196425,-2.4454529578449593,5.549702316773121
11,北京市,2011,北京市2011,华北,33176,25.7,17021.6,131.29,0.012645072,北京官话,-1.1851857360219484,-2.7709126856027595,-2.5318860954543765,1.7346436353573589
11,北京市,2012,北京市2012,华北,36817,95.2,18552.9,156.9,-0.29482362,北京官话,-0.92041130693727,-2.0710085889097054,-2.406216495963023,1.9565384345623047
11,北京市,2013,北京市2013,华北,40830,21.1,18833.0,159.53,-0.2038019,北京官话,-0.8186904938700112,-1.971774090602587,-2.3206259631561887,2.214742697201075
11,北京市,2014,北京市2014,华北,44489,32.1,22632.5,189.46,-0.098557241,北京官话,0.049052007915844166,-1.404315420357775,-2.4506859280755178,2.7241650347557074
11,北京市,2015,北京市2015,华北,48458,5.5,27497.2,181.73,0.16792822,北京官话,-1.0004055562360006,-1.268085182418531,-2.7317550993733613,2.6998986241661487
11,北京市,2016,北京市2016,华北,52530,24.8,25064.9,178.06,0.32714492,北京官话,-0.5667495630299765,-1.0851546744764287,-2.9690191481026686,2.6586737264762585
11,北京市,2017,北京市2017,华北,57230,4.6,47167.8333333333,172.85,0.51929235,北京官话,-0.5310285464254142,-0.9022246262292238,-3.135884657804573,2.97275360745239
11,北京市,2018,北京市2018,华北,62361,15.7,56321.4166666667,186.11,0.66195881,北京官话,-0.21605628430619875,-0.7594374204408991,-3.080943718963139,1.8887763438599818
12,天津市,2010,天津市2010,华北,19266,0.6,9238.31,88.75,-0.78544521,冀鲁官话,-1.7558390951303982,-2.719442667052237,-1.9777182730934186,2.0720832185531264
12,天津市,2011,天津市2011,华北,21714,3.6,8217.69,95.12,-0.78544521,冀鲁官话,-1.6496650057894136,-2.487152432781389,-2.0143910465924564,0.6193175757900703
12,天津市,2012,天津市2012,华北,24030,88.4,8745.92,97.8,-0.78544521,冀鲁官话,-0.9667108815612073,-2.1567927955419135,-1.9346248976309963,0.9504848862399274
12,天津市,2013,天津市2013,华北,26359,8.6,9218.59,89.88,-0.49911743,冀鲁官话,-1.2609649847965736,-2.22322533857142,-1.9908945982757473,1.2437304587673925
12,天津市,2014,天津市2014,华北,28832,3.7,10106.9,89.12,-0.37022376,冀鲁官话,-0.17144065320698906,-1.9422700129140118,-1.9599098706613507,1.020113415470014
12,天津市,2015,天津市2015,华北,31291,,12829.6,88.54,-0.17746805,冀鲁官话,-0.7810033710369467,-1.859496260317801,-2.0703804117410196,0.852614355648346
